Human.Gene	Mouse.Gene	Gene.Type	Cell.Type	Tissue.of.Origin	Reference	Added.By	Added.Date	Comments
COL4A1	Col4a1	protein-coding gene	Pancreatic stellate cells	Pancreas	PanglaoDB	PanglaoDB	2022-07-05	
COL6A2	Col6a2	protein-coding gene	Pancreatic stellate cells	Pancreas	PanglaoDB	PanglaoDB	2022-07-05	
MGP	Mgp	protein-coding gene	Pancreatic stellate cells	Pancreas	PanglaoDB	PanglaoDB	2022-07-05	
COL3A1	Col3a1	protein-coding gene	Pancreatic stellate cells	Pancreas	PanglaoDB	PanglaoDB	2022-07-05	
SPARC	Sparc	protein-coding gene	Pancreatic stellate cells	Pancreas	PanglaoDB	PanglaoDB	2022-07-05	
COL1A1	Col1a1	protein-coding gene	Pancreatic stellate cells	Pancreas	PanglaoDB	PanglaoDB	2022-07-05	
TIMP3	Timp3	protein-coding gene	Pancreatic stellate cells	Pancreas	PanglaoDB	PanglaoDB	2022-07-05	
TNFAIP6	Tnfaip6	protein-coding gene	Pancreatic stellate cells	Pancreas	PanglaoDB	PanglaoDB	2022-07-05	
COL1A2	Col1a2	protein-coding gene	Pancreatic stellate cells	Pancreas	PanglaoDB	PanglaoDB	2022-07-05	
SFRP2	Sfrp2	protein-coding gene	Pancreatic stellate cells	Pancreas	PanglaoDB	PanglaoDB	2022-07-05	
COL6A3	Col6a3	protein-coding gene	Pancreatic stellate cells	Pancreas	PanglaoDB	PanglaoDB	2022-07-05	
THY1	Thy1	protein-coding gene	Pancreatic stellate cells	Pancreas	PanglaoDB	PanglaoDB	2022-07-05	
DEFA5	Defa5	protein-coding gene	Paneth cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
MMP7	Mmp7	protein-coding gene	Paneth cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
AGR2	Agr2	protein-coding gene	Paneth cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
CSF2	Csf2	protein-coding gene	Paneth cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
PLA2G2A	Pla2g2a	protein-coding gene	Paneth cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
PRSS1	Prss1	protein-coding gene	Paneth cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
GUCA2B	Guca2b	protein-coding gene	Paneth cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
CLCA1	Clca1	protein-coding gene	Paneth cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
GUCA2A	Guca2a	protein-coding gene	Paneth cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
ITLN1	Itln1	protein-coding gene	Paneth cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
RETNLB	Retnlb	protein-coding gene	Paneth cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
GPX2	Gpx2	protein-coding gene	Paneth cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
LGALS2	Lgals2	protein-coding gene	Paneth cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
SPINK4	Spink4	protein-coding gene	Paneth cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
FABP4	Fabp4	protein-coding gene	Paneth cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
CFD	Cfd	protein-coding gene	Paneth cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
ADIPOQ	Adipoq	protein-coding gene	Paneth cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
PNLIPRP2	Pnliprp2	protein-coding gene	Paneth cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
DMBT1	Dmbt1	protein-coding gene	Paneth cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
NOD2	Nod2	protein-coding gene	Paneth cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
LGR4	Lgr4	protein-coding gene	Paneth cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
RIPK2	Ripk2	protein-coding gene	Paneth cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
TLR5	Tlr5	protein-coding gene	Paneth cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
WNT3	Wnt3	protein-coding gene	Paneth cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
KCNN4	Kcnn4	protein-coding gene	Paneth cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
RAP1A	Rap1a	protein-coding gene	Paneth cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
ATG16L1	Atg16l1	protein-coding gene	Paneth cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
WNT9B	Wnt9b	protein-coding gene	Paneth cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
DLL4	Dll4	protein-coding gene	Paneth cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
TLR9	Tlr9	protein-coding gene	Paneth cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
CTNNB1	Ctnnb1	protein-coding gene	Paneth cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
DLL1	Dll1	protein-coding gene	Paneth cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
TM4SF20	Tm4sf20	protein-coding gene	Paneth cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
DEFA3	Defa3	protein-coding gene	Paneth cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
KLF15	Klf15	protein-coding gene	Paneth cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
KL	Kl	protein-coding gene	Parathyroid chief cells	Parathyroid glands	PanglaoDB	PanglaoDB	2022-07-05	
CASR	Casr	protein-coding gene	Parathyroid chief cells	Parathyroid glands	PanglaoDB	PanglaoDB	2022-07-05	
VDR	Vdr	protein-coding gene	Parathyroid chief cells	Parathyroid glands	PanglaoDB	PanglaoDB	2022-07-05	
FGFR1	Fgfr1	protein-coding gene	Parathyroid chief cells	Parathyroid glands	PanglaoDB	PanglaoDB	2022-07-05	
CYP27B1	Cyp27b1	protein-coding gene	Parathyroid chief cells	Parathyroid glands	PanglaoDB	PanglaoDB	2022-07-05	
LRP2	Lrp2	protein-coding gene	Parathyroid chief cells	Parathyroid glands	PanglaoDB	PanglaoDB	2022-07-05	
PTH	Pth	protein-coding gene	Parathyroid chief cells	Parathyroid glands	PanglaoDB	PanglaoDB	2022-07-05	
RAB3A	Rab3a	protein-coding gene	Parathyroid chief cells	Parathyroid glands	PanglaoDB	PanglaoDB	2022-07-05	
PODXL	Podxl	protein-coding gene	Parietal cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
KCNQ1	Kcnq1	protein-coding gene	Parietal cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
PTCH1	Ptch1	protein-coding gene	Parietal cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
SHH	Shh	protein-coding gene	Parietal cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
HIP1R	Hip1r	protein-coding gene	Parietal cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
HAMP	Hamp	protein-coding gene	Parietal cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
KCNE2	Kcne2	protein-coding gene	Parietal cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
HDC	Hdc	protein-coding gene	Parietal cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
ASAP3	Asap3	protein-coding gene	Parietal cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
SLC12A6	Slc12a6	protein-coding gene	Parietal cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
AQP4	Aqp4	protein-coding gene	Parietal cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
ATP4B	Atp4b	protein-coding gene	Parietal cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
BMI1	Bmi1	protein-coding gene	Parietal cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
MPZ	Mpz	protein-coding gene	Peri-islet Schwann cells	Pancreas	PanglaoDB	PanglaoDB	2022-07-05	
EGFL8	Egfl8	protein-coding gene	Peri-islet Schwann cells	Pancreas	PanglaoDB	PanglaoDB	2022-07-05	
GFRA1	Gfra1	protein-coding gene	Peri-islet Schwann cells	Pancreas	PanglaoDB	PanglaoDB	2022-07-05	
OLFML2A	Olfml2a	protein-coding gene	Peri-islet Schwann cells	Pancreas	PanglaoDB	PanglaoDB	2022-07-05	
GULP1	Gulp1	protein-coding gene	Peri-islet Schwann cells	Pancreas	PanglaoDB	PanglaoDB	2022-07-05	
SLITRK6	Slitrk6	protein-coding gene	Peri-islet Schwann cells	Pancreas	PanglaoDB	PanglaoDB	2022-07-05	
VGLL3	Vgll3	protein-coding gene	Peri-islet Schwann cells	Pancreas	PanglaoDB	PanglaoDB	2022-07-05	
GFRA3	Gfra3	protein-coding gene	Peri-islet Schwann cells	Pancreas	PanglaoDB	PanglaoDB	2022-07-05	
INSC	Insc	protein-coding gene	Peri-islet Schwann cells	Pancreas	PanglaoDB	PanglaoDB	2022-07-05	
SLITRK2	Slitrk2	protein-coding gene	Peri-islet Schwann cells	Pancreas	PanglaoDB	PanglaoDB	2022-07-05	
FIGN	Fign	protein-coding gene	Peri-islet Schwann cells	Pancreas	PanglaoDB	PanglaoDB	2022-07-05	
LRRTM1	Lrrtm1	protein-coding gene	Peri-islet Schwann cells	Pancreas	PanglaoDB	PanglaoDB	2022-07-05	
SEMA3B	Sema3b	protein-coding gene	Peri-islet Schwann cells	Pancreas	PanglaoDB	PanglaoDB	2022-07-05	
NGFR	Ngfr	protein-coding gene	Peri-islet Schwann cells	Pancreas	PanglaoDB	PanglaoDB	2022-07-05	
PNLIPRP1	Pnliprp1	protein-coding gene	Peri-islet Schwann cells	Pancreas	PanglaoDB	PanglaoDB	2022-07-05	
GFRA2	Gfra2	protein-coding gene	Peri-islet Schwann cells	Pancreas	PanglaoDB	PanglaoDB	2022-07-05	
PECAM1	Pecam1	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
PDGFRB	Pdgfrb	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
CSPG4	Cspg4	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
ANPEP	Anpep	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
ACTA2	Acta2	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
DES	Des	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
RGS5	Rgs5	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
ABCC9	Abcc9	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
KCNJ8	Kcnj8	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
CD248	Cd248	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
DLK1	Dlk1	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
TEK	Tek	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
NOTCH3	Notch3	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
GLI1	Gli1	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
ICAM1	Icam1	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
ADM	Adm	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
ANGPT1	Angpt1	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
VEGFA	Vegfa	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
ZIC1	Zic1	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
FOXC1	Foxc1	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
POSTN	Postn	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
COX4I2	Cox4i2	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
HIGD1B	Higd1b	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
PDZD2	Pdzd2	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
HSD11B1	Hsd11b1	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
MCAM	Mcam	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
MXRA8	Mxra8	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
PDE5A	Pde5a	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
NR1H3	Nr1h3	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
SERPING1	Serping1	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
EMID1	Emid1	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
ECM1	Ecm1	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
COLEC11	Colec11	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
RARRES2	Rarres2	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
REM1	Rem1	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
ASPN	Aspn	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
CYGB	Cygb	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
FABP4	Fabp4	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
VTN	Vtn	protein-coding gene	Pericytes	Vasculature	PanglaoDB	PanglaoDB	2022-07-05	
